valence,year,acousticness,artistname,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,trackname,popularity,release_date,speechiness,tempo,uri
0.186,1921,0.994,"Sergei Rachmaninoff, Ruth Laredo",0.263,132400,0.0536,0,2aMQAP0h9Qww5KAkMdag3L,0.927,8,0.098,-28.147,1,"12 Songs, Op. 21: No. 5, Lilacs (Version for Piano)",1,1921,0.0386,129.365,spotify:track:3a0S89krls1RBvhg7x5vKE
0.0769,1921,0.935,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.36,414067,0.145,0,2c6cN8mcYzqvFbLnzuPI4K,0.384,6,0.0903,-17.269000000000002,0,Gati Mares,2,1921,0.0383,110.354,spotify:track:2c6cN8mcYzqvFbLnzuPI4K
0.552,1921,0.994,André Urban,0.426,177733,0.226,0,2ikGmgf43Y10bp5J7IF9QU,0.0,9,0.235,-16.125999999999998,1,Elle Porte Un Nom Charmant,0,1921,0.0693,73.63,spotify:track:2ikGmgf43Y10bp5J7IF9QU
0.287,1921,0.988,"Gaetano Donizetti, Arturo Toscanini",0.341,388867,0.139,0,2jy7vkWNflSApGQ7b6ziA6,0.114,2,0.304,-19.399,1,Overture,0,1921,0.0643,68.031,spotify:track:14DlWMMbmPuh36wvcUBReA
0.274,1921,0.7929999999999999,Mehmet Kemiksiz,0.199,324859,0.377,0,2koVN4vxAXOmaqILK5Kbbs,1.96e-06,1,0.112,-8.668,0,Bakma Kabristanın Saha-i Medhûşuna,0,1921,0.0421,180.181,spotify:track:2koVN4vxAXOmaqILK5Kbbs
0.197,1921,0.975,Christopher Lynch,0.418,151840,0.0904,0,2ksYHAsGBLxAupsni2QeNw,2.64e-06,8,0.112,-13.871,1,The Minstrel Boy,0,1921,0.0408,52.008,spotify:track:2ksYHAsGBLxAupsni2QeNw
0.8909999999999999,1921,0.994,Mistinguett,0.611,160373,0.297,0,2lgAz3rSTLcqyVj2fJsIzo,0.0,0,0.421,-15.800999999999998,1,Une Femme Qui Passe,1,1921,0.0661,122.476,spotify:track:54zDJfIESILOlOIHdesUvm
0.197,1921,0.987,Morton Downey,0.423,187360,0.0926,0,2oWQOXbtHpvswlcWeJYe7P,2.7399999999999995e-05,3,0.343,-13.854,1,My Wild Irish Rose,0,1921,0.0437,105.365,spotify:track:2oWQOXbtHpvswlcWeJYe7P
0.8170000000000001,1921,0.99,Darüttalim-i Musiki Heyeti,0.38,192601,0.525,0,2t5UabjiPwVUXJtcpRHreq,0.94,1,0.438,-12.112,0,Şehnaz Longa,0,1921-02-20,0.0432,136.156,spotify:track:2t5UabjiPwVUXJtcpRHreq
0.0447,1921,0.922,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.27,494054,0.266,0,2tDwnNWXjupxNEjTTb9qDQ,0.802,9,0.0938,-11.077,1,Gati Kridha,2,1921,0.0323,100.771,spotify:track:2tDwnNWXjupxNEjTTb9qDQ
0.0358,1921,0.943,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.212,416052,0.215,0,2xJPXDxhBbcI8d4KraRJmT,0.442,3,0.1,-13.368,1,Gati Padasih,2,1921,0.0392,65.926,spotify:track:2xJPXDxhBbcI8d4KraRJmT
0.115,1921,0.8959999999999999,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.476,544052,0.677,0,2xMpQnfWIgRFjzrRXOl4zT,0.644,4,0.4,-11.628,1,Gati Harjuna Mangsah,4,1921,0.108,116.572,spotify:track:2xMpQnfWIgRFjzrRXOl4zT
0.25,1921,0.478,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.28,546033,0.0294,0,2xRAzeh9R6zNdXdVhCXMxj,0.00569,2,0.0439,-28.522,0,Prabu Mataram,5,1921,0.0324,106.083,spotify:track:2xRAzeh9R6zNdXdVhCXMxj
0.29,1921,0.465,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.758,255378,0.0148,0,35eVH8c7u6LGwyksBGMQCp,1.94e-05,0,0.349,-30.842,0,Sri Kondur,2,1921,0.133,77.031,spotify:track:35eVH8c7u6LGwyksBGMQCp
0.33,1921,0.995,Hanende İbrahim Efendi,0.264,155633,0.287,0,38iWg7IcG1EXrxbibvq8Ox,0.935,2,0.248,-13.323,1,Ne İçin Mahzun,0,1921-12-18,0.0356,74.301,spotify:track:38iWg7IcG1EXrxbibvq8Ox
0.767,1921,0.995,Maurice Chevalier,0.517,169173,0.271,0,39ZYlUAoqyE05y7rsfeivo,0.0,6,0.368,-15.487,0,Pour Bien Reussir Dans La Chaussure,0,1921,0.0551,90.39,spotify:track:39ZYlUAoqyE05y7rsfeivo
0.0443,1921,0.982,KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,0.316,460069,0.15,0,3C8IMx8BgWGiQE9bIuqCvP,0.909,9,0.093,-14.79,1,Gati Kumencar,1,1921,0.0333,99.526,spotify:track:3C8IMx8BgWGiQE9bIuqCvP
0.0515,1921,0.973,"Sergei Rachmaninoff, Michael Tilson Thomas, Barry Douglas, London Symphony Orchestra",0.2,673733,0.0916,0,3Dx6MiHU13YcyVf6FADqjC,0.875,5,0.0756,-22.312,0,III. Allegro scherzando,0,1921,0.0376,65.211,spotify:track:5tWNbOrkJON8fcBoIzPru7
0.43,1921,0.994,Ignacio Corsini,0.382,162907,0.105,0,3EOZYPETcAbvpB270WnGIx,0.48,11,0.107,-23.237,0,Recordando - Remasterizado,0,1921-03-20,0.0408,91.581,spotify:track:3EOZYPETcAbvpB270WnGIx
0.354,1921,0.985,Marcelly,0.314,159467,0.281,0,3I8393MR3DWSprtxgpZMoy,6.37e-05,0,0.134,-13.337,0,La Chanson Des Yeux Clos,0,1921,0.0648,78.811,spotify:track:3I8393MR3DWSprtxgpZMoy
0.077,1921,0.994,"Sergei Rachmaninoff, Ruth Laredo",0.248,117467,0.0876,0,3Jsx93Aim5jr96396tgDt7,0.907,5,0.165,-25.786,1,"6 Songs, Op. 38: No. 3, Daisies (Version for Piano)",0,1921,0.0566,82.025,spotify:track:0Rd0PPc5WlCFrruVVQ0ZW3
0.192,1921,0.993,John McCormack,0.393,255800,0.156,0,3Po8aZhKXPvBlWZFevIrI5,4.85e-06,7,0.102,-15.013,1,Kathleen Mavourneen,0,1921,0.0458,136.295,spotify:track:5eW9uy0YO0j9ym80JOgb8d
0.318,1921,0.991,"Ludwig van Beethoven, Arturo Toscanini",0.305,522667,0.273,0,3WV2AlpIn96bzLkkZ7RNob,0.0746,0,0.377,-16.778,1,IV. Allegro,0,1921,0.0386,82.801,spotify:track:4q0DHWH5sFAx2mMrkcLJaD
0.282,1921,0.989,"Sergei Rachmaninoff, Ruth Laredo",0.384,221013,0.171,0,3XooVMkWzhrHdPQyi46sl6,0.82,7,0.116,-20.476,0,"10 Préludes, Op. 23: No. 5 in G Minor. Alla marcia",0,1921,0.0319,107.698,spotify:track:0NFeJgmTAV1kDfzSQNK41Z
0.0779,1921,0.588,THE GUY,0.341,323840,0.256,1,3YVy92W44JmU6KeF6UMldm,0.157,9,0.105,-16.012,1,Tigers,0,1921-09-11,0.0461,121.051,spotify:track:3YVy92W44JmU6KeF6UMldm
0.433,1921,0.987,"Ludwig van Beethoven, Arturo Toscanini",0.544,269547,0.259,0,3YWrfsNGrZNsC270jMiBad,0.0532,0,0.139,-17.458,1,IV. Finale. Adagio - Allegro molto e vivace,0,1921,0.0437,78.29,spotify:track:3YWrfsNGrZNsC270jMiBad
0.716,1921,0.978,Georgius,0.502,158173,0.403,0,3ZlvfjWLxFqfOGK2FTR2ph,0.0,7,0.255,-16.814,1,Un Agent Courait,0,1921,0.466,67.883,spotify:track:4xyW18xV8H5OX3pikENIZt
0.603,1921,0.992,Ignacio Corsini,0.464,196507,0.154,0,3d3nDmLDOck1Nucaflpoqt,0.9,4,0.112,-25.44400000000001,1,Tortolita y Chingolo - Remasterizado,0,1921-03-20,0.192,85.405,spotify:track:3d3nDmLDOck1Nucaflpoqt
0.598,1921,0.995,Ignacio Corsini,0.496,166280,0.124,0,3g6M4eAkVgMnFeJdWUSavX,0.0986,11,0.231,-21.261,0,Santos Vega - Remasterizado,0,1921-03-20,0.0505,82.85799999999998,spotify:track:3g6M4eAkVgMnFeJdWUSavX
0.036,1921,0.8959999999999999,"Sergei Rachmaninoff, Yuri Temirkanov, St. Petersburg Philharmonic Orchestra",0.16,805400,0.0521,0,3ifqMMzDlh6wLRzjLOMTdQ,0.846,9,0.114,-23.652,1,III. Adagio,0,1921,0.0398,86.736,spotify:track:5RTj6DqYNEvzH29N8RiUAA
0.429,1921,0.983,Ignacio Corsini,0.366,171213,0.231,0,3nX4gFJqhxKT61sYkB029F,0.905,4,0.112,-24.963,1,Pobre Mi China - Remasterizado,0,1921-03-20,0.283,63.24100000000001,spotify:track:3nX4gFJqhxKT61sYkB029F
