user_id,artistname,trackname,playlistname,id,artists,key,danceability,liveness,valence,year,acousticness,duration_ms,energy,explicit,instrumentalness,loudness,mode,popularity,speechiness,tempo,release_date
944c80d26922ae634d6ce445b1fdff7f,Cheryl,Under The Sun,Starred944c80d26922ae634d6ce445b1fdff7f,5DRLxox45OZGJycLUhJ4h7,Cheryl,10,0.74,0.337,0.827,2012,0.0146,209847,0.686,0,5.38e-06,-4.422,0,32,0.0913,87.798,2012-01-01
944c80d26922ae634d6ce445b1fdff7f,The Pigeon Detectives,Unforgettable,Starred944c80d26922ae634d6ce445b1fdff7f,25j2MyXdisV89wSzy54hfM,The Pigeon Detectives,8,0.411,0.374,0.644,2013,2.9e-05,205280,0.97,0,0.293,-3.765,0,7,0.0617,153.74,2013-04-28
944c80d26922ae634d6ce445b1fdff7f,Kip Moore,Up All Night,Starred944c80d26922ae634d6ce445b1fdff7f,4R7Y9i2rIliBMiVbMjVCS9,Kip Moore,6,0.344,0.128,0.204,2012,0.0355,267880,0.717,0,2.52e-05,-6.103,1,32,0.0647,193.762,2012-01-01
944c80d26922ae634d6ce445b1fdff7f,Squeeze,Up The Junction,Starred944c80d26922ae634d6ce445b1fdff7f,1zU0kAJdEPyRs4x5gkQQER,Squeeze,9,0.498,0.092,0.886,1979,0.359,191320,0.536,0,0.000106,-12.974,1,55,0.0533,120.704,1979-01-01
944c80d26922ae634d6ce445b1fdff7f,Wolfmother,Vagabond,Starred944c80d26922ae634d6ce445b1fdff7f,6HzpmmaLVHC88XQY4e0YZL,Wolfmother,2,0.585,0.16,0.358,2015,0.213,160347,0.534,0,0,-7.802,1,46,0.0298,101.025,2015-09-25
944c80d26922ae634d6ce445b1fdff7f,Antsy Pants,Vampire,Starred944c80d26922ae634d6ce445b1fdff7f,5LEytHeSPL3WIrli4sptPW,Antsy Pants,0,0.709,0.0652,0.749,2007,0.908,80387,0.43,0,9.59e-05,-7.45,1,33,0.0516,95.536,2007-12-11
944c80d26922ae634d6ce445b1fdff7f,Avicii,Wake Me Up,Starred944c80d26922ae634d6ce445b1fdff7f,0nrRP2bk19rLc0orkWPQk2,Avicii,2,0.532,0.161,0.643,2013,0.0038,247427,0.783,0,0.0012,-5.697,1,85,0.0523,124.08,2013-01-01
944c80d26922ae634d6ce445b1fdff7f,The Script,Walk Away,Starred944c80d26922ae634d6ce445b1fdff7f,32GU2wHE0XjhbTl182GRH7,The Script,8,0.532,0.148,0.407,2010,0.0171,216013,0.868,0,0,-5.896,0,35,0.047,87.044,2010-09-13
944c80d26922ae634d6ce445b1fdff7f,The Offspring,Walla Walla,Starred944c80d26922ae634d6ce445b1fdff7f,4Kk6O5Q7UAgxP0QwyES72F,The Offspring,0,0.499,0.0741,0.881,1998,0.0199,177053,0.94,0,3.5e-06,-4.087,1,50,0.0873,173.549,1998-11-16
944c80d26922ae634d6ce445b1fdff7f,The Offspring,Want You Bad,Starred944c80d26922ae634d6ce445b1fdff7f,6hwQ69v7VbPhTTR2fOtYX7,The Offspring,4,0.491,0.307,0.614,2000,5.59e-05,202573,0.966,0,0,-4.28,1,72,0.0538,105.544,2000-11-14
944c80d26922ae634d6ce445b1fdff7f,Jedward,Waterline,Starred944c80d26922ae634d6ce445b1fdff7f,0xCMGAf80y3dUevG2qXpvS,Jedward,10,0.659,0.0728,0.863,2012,0.000886,183093,0.731,0,0,-5.555,1,30,0.0385,144.034,2012-01-01
944c80d26922ae634d6ce445b1fdff7f,Frank Turner,We Shall Not Overcome,Starred944c80d26922ae634d6ce445b1fdff7f,4ysmODoF5WXlBlGkyWfu7J,Frank Turner,9,0.654,0.089,0.904,2013,0.0172,232815,0.834,0,0.000229,-4.436,1,23,0.0425,139.377,2013-01-01
944c80d26922ae634d6ce445b1fdff7f,Frank Turner,Wessex Boy,Starred944c80d26922ae634d6ce445b1fdff7f,2sEe82TGwnZvUtWgdvRo8P,Frank Turner,2,0.588,0.0983,0.674,2011,0.395,213840,0.588,0,0,-7.418,1,27,0.0339,80.025,2011-06-07
944c80d26922ae634d6ce445b1fdff7f,Mat Kearney,What She Wants,Starred944c80d26922ae634d6ce445b1fdff7f,05HRYKbIYrdnGEEPgvUdc2,Mat Kearney,9,0.573,0.304,0.48,2011,0.00484,217280,0.633,0,0,-5.825,1,10,0.0269,95.978,2011
944c80d26922ae634d6ce445b1fdff7f,Beans On Toast,Whatever Happened To The Rubicks Cube?,Starred944c80d26922ae634d6ce445b1fdff7f,0VLsWvMxGaBSyf6tHShnUr,Beans on Toast,11,0.676,0.34,0.935,2009,0.86,125267,0.462,1,0,-8.569,1,9,0.348,92.464,2009-12-01
944c80d26922ae634d6ce445b1fdff7f,Flogging Molly,What’s Left of the Flag,Starred944c80d26922ae634d6ce445b1fdff7f,03dNXzQNXGYrkTCpsQFcoZ,Flogging Molly,7,0.192,0.0795,0.568,2023,0.00148,230755,0.944,0,0,-2.772,1,11,0.0869,156.364,2023-03-10
944c80d26922ae634d6ce445b1fdff7f,Sarah McLachlan,When She Loved Me,Starred944c80d26922ae634d6ce445b1fdff7f,6lMh9k54E4mxbGBMkSwYhT,Sarah McLachlan,5,0.368,0.0977,0.292,1999,0.983,185240,0.133,0,0,-14.706,1,51,0.0399,132.038,1999-01-01
944c80d26922ae634d6ce445b1fdff7f,Arctic Monkeys,When The Sun Goes Down,Starred944c80d26922ae634d6ce445b1fdff7f,2zzLRQ78kKfPTx8FJQCdC2,Arctic Monkeys,11,0.348,0.117,0.407,2006,0.0341,202133,0.875,1,0,-4.758,0,72,0.199,169.152,2006-01-29
944c80d26922ae634d6ce445b1fdff7f,The Pigeon Detectives,Where You Are,Starred944c80d26922ae634d6ce445b1fdff7f,2I8eFam8bT8SYGbMO9p372,The Pigeon Detectives,9,0.197,0.253,0.344,2013,5.14e-06,153373,0.978,0,0.00262,-3.521,1,6,0.116,164.486,2013-04-28
944c80d26922ae634d6ce445b1fdff7f,Jana Kramer,Whiskey,Starred944c80d26922ae634d6ce445b1fdff7f,2PlV5tbBAReUfsO6R55gxe,Jana Kramer,0,0.528,0.34,0.48,2012,0.0539,215907,0.773,0,1.5e-05,-3.395,1,44,0.0331,143.818,2012-06-01
944c80d26922ae634d6ce445b1fdff7f,The Fratellis,Whistle For The Choir,Starred944c80d26922ae634d6ce445b1fdff7f,3rXCnvL6xP83VsYUg4rm7e,The Fratellis,4,0.602,0.0848,0.726,2006,0.0544,215813,0.697,0,0,-4.57,1,53,0.0321,131.623,2006-01-01
944c80d26922ae634d6ce445b1fdff7f,The Offspring,Why Don't You Get a Job?,Starred944c80d26922ae634d6ce445b1fdff7f,0sNKiz82ATCvT3f3XVVUUj,The Offspring,5,0.766,0.281,0.544,1998,0.0674,172467,0.882,1,2.3e-06,-4.478,1,73,0.0719,107.932,1998-11-16
944c80d26922ae634d6ce445b1fdff7f,Jana Kramer,Why Ya Wanna,Starred944c80d26922ae634d6ce445b1fdff7f,08f0fHqZigPgPHCfRjk8SC,Jana Kramer,4,0.298,0.113,0.299,2012,0.275,221373,0.676,0,0,-3.187,1,48,0.0514,167.37,2012-06-01
944c80d26922ae634d6ce445b1fdff7f,Cher Lloyd,With Ur Love,Starred944c80d26922ae634d6ce445b1fdff7f,13CLRmU5f8vvqnrt1DKoQW,"Cher Lloyd, Mike Posner",4,0.551,0.175,0.723,2011,0.0106,225613,0.86,0,0,-2.11,1,43,0.0431,169.989,2011-11-07
